Geographical Location (Latitude),Geographical Location (Longitude),Sampling Date,Nitrogen (mg/L),Phosphorus (mg/L),State of Sewage System
5.20108555552281,-55.0296727856018,2022-06-10,7.18186032316941,2.32050601907704,Good
-64.1964082663717,94.4832681627824,2018-10-12,9.73568469480219,1.01530807055119,Good
-7.89294020102126,-90.5031094894867,2023-02-16,6.77807383096288,4.71845172066798,Good
-11.3342483161185,110.778986436187,2021-10-17,3.34060139776482,3.31570546616016,Moderate
-24.5320612303279,-147.588401569799,2021-12-01,8.75321134024663,4.68209128124436,Good
-71.631934065355,95.6538772942742,2022-04-30,9.78307974428852,1.07626413222265,Good
28.1393261037492,-108.144654402417,2021-02-17,7.95227710801868,1.87188145174085,Good
18.8721935541083,-155.313453582121,2019-04-09,3.47245812660777,0.204053513935186,Moderate
-36.6947644460139,2.41758177053296,2015-07-28,2.52898560034059,2.17735978788572,Moderate
13.6703692001123,167.377297185377,2022-05-25,1.77611231744827,3.21834306542264,Poor
15.572328265815,174.620799409837,2022-04-13,5.61866186937541,4.92241177559037,Moderate
32.0069766233214,68.4878070145833,2022-01-09,5.79130049886699,1.39941531465586,Good
83.1939381211389,-109.729336570887,2022-05-24,9.70859884980627,3.87263796413969,Moderate
81.4948220730573,-5.66697092863484,2021-11-18,3.88058392190578,2.8069858707579,Poor
68.5985754800091,-153.752486889747,2014-05-08,8.78638864278847,3.72885413659624,Moderate
0.238388746806407,21.4963955303548,2018-10-22,7.72558149353838,2.85426028009696,Good
25.9182358613347,97.6949939368243,2022-08-27,5.44342837404757,3.6906599768389,Moderate
-36.3091813279145,-147.905735882468,2023-03-12,6.29328885926745,1.8624143667313,Good
27.5761475742841,142.706324467133,2022-09-15,9.861332695597,4.55700606412775,Moderate
70.546203902821,36.9650965307316,2022-04-25,5.61548784541319,0.4340128549616,Good
-60.7512717582525,-79.3876851651469,2015-08-12,4.6808866824419,1.4770720723913,Poor
-67.7124030871005,-119.938708871249,2019-04-11,6.86895419793265,4.79440163062161,Moderate
12.4381329506268,-89.8065800975845,2015-08-02,4.62001039945354,1.14620288347255,Moderate
-25.2039483938945,160.228006839821,2015-03-17,9.9466033768053,2.73890743962993,Good
-59.1066580929407,-168.998972569086,2019-07-20,2.88078870951108,4.11137496016645,Good
3.78658911674327,-67.7802287137366,2018-10-26,8.2275226999204,3.00689320821704,Poor
36.7945923462359,16.6130484758587,2020-04-25,4.29828950101032,1.40909772189331,Good
6.4139045444925,131.391267512346,2022-04-25,4.85088307004443,1.19714334970661,Poor
79.9870301971081,-118.76568348871,2015-04-16,0.109495114408503,1.12927451439815,Good
-49.0653669648018,146.730433966055,2022-01-19,1.90580452025989,2.51932224304084,Poor
-33.8767412410615,-78.3467925923378,2017-11-05,4.28929549036208,4.34251642938825,Moderate
71.4008327472616,172.322844422479,2016-07-17,9.74265485040657,4.56891770050597,Good
-50.9585428082747,130.104439789358,2015-07-08,4.04586966341834,2.62833005615188,Good
